Region,City,Boric,Boric_per,Kast,Kast_per,Votos_Emitidos,Votos_Emitidos_per,Votos_Nulos,Votos_Nulos_per,Votos_Blancos,Votos_Blancos_per,Votos_Total,Votos_Total_per,City_id,City_with_id,Region_id,Region_with_id
DE ARICA Y PARINACOTA,total,44236,50.58,43229,49.42,87465,98.76,843,0.95,257,0.29,88565,100.0,-99,total,1084,1084-DE ARICA Y PARINACOTA
DE ARICA Y PARINACOTA,ARICA,43248,50.98,41586,49.02,84834,98.78,804,0.94,247,0.29,85885,100.0,157,157-ARICA,1084,1084-DE ARICA Y PARINACOTA
DE ARICA Y PARINACOTA,CAMARONES,430,49.2,444,50.8,874,98.76,7,0.79,4,0.45,885,100.0,22534,22534-CAMARONES,1084,1084-DE ARICA Y PARINACOTA
DE ARICA Y PARINACOTA,GENERAL LAGOS,65,20.57,251,79.43,316,96.93,9,2.76,1,0.31,326,100.0,164,164-GENERAL LAGOS,1084,1084-DE ARICA Y PARINACOTA
DE ARICA Y PARINACOTA,PUTRE,493,34.21,948,65.79,1441,98.09,23,1.57,5,0.34,1469,100.0,165,165-PUTRE,1084,1084-DE ARICA Y PARINACOTA
DE TARAPACA,total,55476,48.68,58486,51.32,113962,98.75,1108,0.96,329,0.29,115399,100.0,-99,total,1085,1085-DE TARAPACA
DE TARAPACA,ALTO HOSPICIO,11971,50.16,11897,49.84,23868,98.58,279,1.15,64,0.26,24211,100.0,340,340-ALTO HOSPICIO,1085,1085-DE TARAPACA
DE TARAPACA,CAMIÑA,151,17.62,706,82.38,857,98.96,9,1.04,0,0.0,866,100.0,159,159-CAMIÑA,1085,1085-DE TARAPACA
DE TARAPACA,COLCHANE,52,5.31,928,94.69,980,99.59,3,0.3,1,0.1,984,100.0,160,160-COLCHANE,1085,1085-DE TARAPACA
DE TARAPACA,HUARA,545,35.5,990,64.5,1535,98.52,18,1.16,5,0.32,1558,100.0,161,161-HUARA,1085,1085-DE TARAPACA
DE TARAPACA,IQUIQUE,39346,49.54,40072,50.46,79418,98.79,733,0.91,238,0.3,80389,100.0,163,163-IQUIQUE,1085,1085-DE TARAPACA
DE TARAPACA,PICA,1290,47.37,1433,52.63,2723,99.34,12,0.44,6,0.22,2741,100.0,162,162-PICA,1085,1085-DE TARAPACA
DE TARAPACA,POZO ALMONTE,2121,46.3,2460,53.7,4581,98.52,54,1.16,15,0.32,4650,100.0,22536,22536-POZO ALMONTE,1085,1085-DE TARAPACA
DE ANTOFAGASTA,total,127850,59.78,86019,40.22,213869,98.55,2513,1.16,630,0.29,217012,100.0,-99,total,1086,1086-DE ANTOFAGASTA
DE ANTOFAGASTA,ANTOFAGASTA,80734,60.38,52976,39.62,133710,98.69,1392,1.03,388,0.29,135490,100.0,11,11-ANTOFAGASTA,1086,1086-DE ANTOFAGASTA
DE ANTOFAGASTA,CALAMA,30837,54.59,25654,45.41,56491,98.18,873,1.52,177,0.31,57541,100.0,15,15-CALAMA,1086,1086-DE ANTOFAGASTA
DE ANTOFAGASTA,MARIA ELENA,1350,73.93,476,26.07,1826,98.44,24,1.29,5,0.27,1855,100.0,18,18-MARIA ELENA,1086,1086-DE ANTOFAGASTA
DE ANTOFAGASTA,MEJILLONES,3050,68.57,1398,31.43,4448,98.52,54,1.2,13,0.29,4515,100.0,12,12-MEJILLONES,1086,1086-DE ANTOFAGASTA
DE ANTOFAGASTA,OLLAGUE,102,45.54,122,54.46,224,95.73,6,2.56,4,1.71,234,100.0,16,16-OLLAGUE,1086,1086-DE ANTOFAGASTA
DE ANTOFAGASTA,SAN PEDRO DE ATACAMA,2217,67.41,1072,32.59,3289,98.33,44,1.32,12,0.36,3345,100.0,23339,23339-SAN PEDRO DE ATACAMA,1086,1086-DE ANTOFAGASTA
DE ANTOFAGASTA,SIERRA GORDA,430,60.82,277,39.18,707,98.88,5,0.7,3,0.42,715,100.0,13,13-SIERRA GORDA,1086,1086-DE ANTOFAGASTA
DE ANTOFAGASTA,TALTAL,3078,69.01,1382,30.99,4460,99.11,25,0.56,15,0.33,4500,100.0,23528,23528-TALTAL,1086,1086-DE ANTOFAGASTA
DE ANTOFAGASTA,TOCOPILLA,6052,69.45,2662,30.55,8714,98.83,90,1.02,13,0.15,8817,100.0,19,19-TOCOPILLA,1086,1086-DE ANTOFAGASTA
DE ATACAMA,total,76194,65.43,40265,34.57,116459,98.91,993,0.84,292,0.25,117744,100.0,-99,total,1089,1089-DE ATACAMA
DE ATACAMA,ALTO DEL CARMEN,1236,63.81,701,36.19,1937,98.58,23,1.17,5,0.25,1965,100.0,25,25-ALTO DEL CARMEN,1089,1089-DE ATACAMA
DE ATACAMA,CALDERA,5485,68.74,2494,31.26,7979,98.92,67,0.83,20,0.25,8066,100.0,22526,22526-CALDERA,1089,1089-DE ATACAMA
DE ATACAMA,CHAÑARAL,4004,73.47,1446,26.53,5450,99.04,38,0.69,15,0.27,5503,100.0,22525,22525-CHAÑARAL,1089,1089-DE ATACAMA
DE ATACAMA,COPIAPO,38215,61.71,23707,38.29,61922,98.92,521,0.83,153,0.24,62596,100.0,23,23-COPIAPO,1089,1089-DE ATACAMA
DE ATACAMA,DIEGO DE ALMAGRO,3932,75.43,1281,24.57,5213,98.62,59,1.12,14,0.26,5286,100.0,21,21-DIEGO DE ALMAGRO,1089,1089-DE ATACAMA
DE ATACAMA,FREIRINA,2132,74.08,746,25.92,2878,98.97,23,0.79,7,0.24,2908,100.0,22528,22528-FREIRINA,1089,1089-DE ATACAMA
DE ATACAMA,HUASCO,3131,72.09,1212,27.91,4343,98.97,36,0.82,9,0.21,4388,100.0,22531,22531-HUASCO,1089,1089-DE ATACAMA
DE ATACAMA,TIERRA AMARILLA,3656,66.47,1844,33.53,5500,98.74,50,0.9,20,0.36,5570,100.0,24,24-TIERRA AMARILLA,1089,1089-DE ATACAMA
DE ATACAMA,VALLENAR,14403,67.82,6834,32.18,21237,98.95,176,0.82,49,0.23,21462,100.0,28,28-VALLENAR,1089,1089-DE ATACAMA
DE COQUIMBO,total,199184,63.29,115545,36.71,314729,98.86,2658,0.83,969,0.3,318356,100.0,-99,total,1090,1090-DE COQUIMBO
DE COQUIMBO,ANDACOLLO,4274,74.28,1480,25.72,5754,98.65,61,1.05,18,0.31,5833,100.0,66,66-ANDACOLLO,1090,1090-DE COQUIMBO
DE COQUIMBO,CANELA,3325,68.95,1497,31.05,4822,99.16,20,0.41,21,0.43,4863,100.0,62,62-CANELA,1090,1090-DE COQUIMBO
DE COQUIMBO,COMBARBALA,3876,67.13,1898,32.87,5774,99.07,40,0.69,14,0.24,5828,100.0,72,72-COMBARBALA,1090,1090-DE COQUIMBO
DE COQUIMBO,COQUIMBO,53671,62.73,31884,37.27,85555,98.82,769,0.89,255,0.29,86579,100.0,67,67-COQUIMBO,1090,1090-DE COQUIMBO
DE COQUIMBO,ILLAPEL,9971,70.17,4239,29.83,14210,99.06,95,0.66,40,0.28,14345,100.0,63,63-ILLAPEL,1090,1090-DE COQUIMBO
DE COQUIMBO,LA HIGUERA,1300,66.53,654,33.47,1954,99.29,10,0.51,4,0.2,1968,100.0,68,68-LA HIGUERA,1090,1090-DE COQUIMBO
DE COQUIMBO,LA SERENA,59745,60.38,39209,39.62,98954,98.85,852,0.85,295,0.29,100101,100.0,69,69-LA SERENA,1090,1090-DE COQUIMBO
DE COQUIMBO,LOS VILOS,6614,68.32,3067,31.68,9681,99.09,67,0.69,22,0.23,9770,100.0,64,64-LOS VILOS,1090,1090-DE COQUIMBO
DE COQUIMBO,MONTE PATRIA,7966,67.0,3924,33.0,11890,98.64,109,0.9,55,0.46,12054,100.0,73,73-MONTE PATRIA,1090,1090-DE COQUIMBO
DE COQUIMBO,OVALLE,27498,62.87,16242,37.13,43740,98.83,385,0.87,135,0.31,44260,100.0,74,74-OVALLE,1090,1090-DE COQUIMBO
DE COQUIMBO,PAIHUANO,1648,60.48,1077,39.52,2725,98.95,22,0.8,7,0.25,2754,100.0,70,70-PAIHUANO,1090,1090-DE COQUIMBO
DE COQUIMBO,PUNITAQUI,3043,66.72,1518,33.28,4561,98.64,40,0.87,23,0.5,4624,100.0,75,75-PUNITAQUI,1090,1090-DE COQUIMBO
DE COQUIMBO,RIO HURTADO,1137,56.32,882,43.68,2019,98.25,19,0.92,17,0.83,2055,100.0,76,76-RIO HURTADO,1090,1090-DE COQUIMBO
DE COQUIMBO,SALAMANCA,7357,64.33,4080,35.67,11437,98.97,83,0.72,36,0.31,11556,100.0,65,65-SALAMANCA,1090,1090-DE COQUIMBO
DE COQUIMBO,VICUÑA,7759,66.58,3894,33.42,11653,99.04,86,0.73,27,0.23,11766,100.0,71,71-VICUÑA,1090,1090-DE COQUIMBO
DE VALPARAISO,total,545010,59.3,374010,40.7,919020,98.9,7730,0.83,2462,0.26,929212,100.0,-99,total,1091,1091-DE VALPARAISO
DE VALPARAISO,ALGARROBO,4580,47.33,5096,52.67,9676,99.14,61,0.62,23,0.24,9760,100.0,183,183-ALGARROBO,1091,1091-DE VALPARAISO
DE VALPARAISO,CABILDO,6590,68.21,3071,31.79,9661,99.03,71,0.73,24,0.25,9756,100.0,171,171-CABILDO,1091,1091-DE VALPARAISO
DE VALPARAISO,CALERA,16264,66.08,8347,33.92,24611,98.99,194,0.78,56,0.23,24861,100.0,176,176-CALERA,1091,1091-DE VALPARAISO
DE VALPARAISO,CALLE LARGA,4309,63.05,2525,36.95,6834,98.84,62,0.9,18,0.26,6914,100.0,18293,18293-CALLE LARGA,1091,1091-DE VALPARAISO
DE VALPARAISO,CARTAGENA,6229,58.63,4395,41.37,10624,99.09,75,0.7,23,0.21,10722,100.0,184,184-CARTAGENA,1091,1091-DE VALPARAISO
DE VALPARAISO,CASABLANCA,7086,54.07,6019,45.93,13105,99.0,102,0.77,31,0.23,13238,100.0,195,195-CASABLANCA,1091,1091-DE VALPARAISO
DE VALPARAISO,CATEMU,4026,64.0,2265,36.0,6291,99.04,49,0.77,12,0.19,6352,100.0,189,189-CATEMU,1091,1091-DE VALPARAISO
DE VALPARAISO,CONCON,12555,45.54,15012,54.46,27567,98.45,304,1.09,131,0.47,28002,100.0,196,196-CONCON,1091,1091-DE VALPARAISO
DE VALPARAISO,EL QUISCO,5413,57.68,3972,42.32,9385,99.14,68,0.72,13,0.14,9466,100.0,185,185-EL QUISCO,1091,1091-DE VALPARAISO
DE VALPARAISO,EL TABO,5030,60.48,3287,39.52,8317,99.11,60,0.71,15,0.18,8392,100.0,186,186-EL TABO,1091,1091-DE VALPARAISO
DE VALPARAISO,HIJUELAS,4721,56.11,3693,43.89,8414,98.78,76,0.89,28,0.33,8518,100.0,177,177-HIJUELAS,1091,1091-DE VALPARAISO
DE VALPARAISO,ISLA DE PASCUA,2016,70.27,853,29.73,2869,98.15,39,1.33,15,0.51,2923,100.0,18434,18434-ISLA DE PASCUA,1091,1091-DE VALPARAISO
DE VALPARAISO,JUAN FERNANDEZ,282,70.5,118,29.5,400,99.75,0,0.0,1,0.25,401,100.0,18680,18680-JUAN FERNANDEZ,1091,1091-DE VALPARAISO
DE VALPARAISO,LA CRUZ,5571,53.13,4915,46.87,10486,98.67,109,1.03,32,0.3,10627,100.0,178,178-LA CRUZ,1091,1091-DE VALPARAISO
DE VALPARAISO,LA LIGUA,10990,62.13,6698,37.87,17688,99.13,117,0.66,39,0.22,17844,100.0,172,172-LA LIGUA,1091,1091-DE VALPARAISO
DE VALPARAISO,LIMACHE,12427,54.87,10222,45.13,22649,98.84,202,0.88,64,0.28,22915,100.0,179,179-LIMACHE,1091,1091-DE VALPARAISO
DE VALPARAISO,LLAILLAY,19279,59.77,12976,40.23,32255,98.84,282,0.86,96,0.29,32633,100.0,190,190-LLAILLAY,1091,1091-DE VALPARAISO
DE VALPARAISO,LOS ANDES,19279,59.77,12976,40.23,32255,98.84,282,0.86,96,0.29,32633,100.0,168,168-LOS ANDES,1091,1091-DE VALPARAISO
DE VALPARAISO,NOGALES,7511,69.13,3354,30.87,10865,98.95,78,0.71,37,0.34,10980,100.0,180,180-NOGALES,1091,1091-DE VALPARAISO
DE VALPARAISO,OLMUE,4771,51.22,4543,48.78,9314,98.89,85,0.9,20,0.21,9419,100.0,181,181-OLMUE,1091,1091-DE VALPARAISO
DE VALPARAISO,PANQUEHUE,2398,60.88,1541,39.12,3939,99.17,25,0.63,8,0.2,3972,100.0,191,191-PANQUEHUE,1091,1091-DE VALPARAISO
DE VALPARAISO,PAPUDO,2318,54.07,1969,45.93,4287,99.12,33,0.76,5,0.12,4325,100.0,173,173-PAPUDO,1091,1091-DE VALPARAISO
DE VALPARAISO,PETORCA,3678,72.86,1370,27.14,5048,98.94,42,0.82,12,0.24,5102,100.0,174,174-PETORCA,1091,1091-DE VALPARAISO
DE VALPARAISO,PUCHUNCAVI,6088,60.31,4007,39.69,10095,98.86,79,0.77,37,0.36,10211,100.0,23471,23471-PUCHUNCAVI,1091,1091-DE VALPARAISO
DE VALPARAISO,PUTAENDO,5049,65.36,2676,34.64,7725,99.09,51,0.65,20,0.26,7796,100.0,192,192-PUTAENDO,1091,1091-DE VALPARAISO
DE VALPARAISO,QUILLOTA,23622,56.03,18538,43.97,42160,98.98,335,0.79,100,0.23,42595,100.0,182,182-QUILLOTA,1091,1091-DE VALPARAISO
DE VALPARAISO,QUILPUE,46570,57.9,33856,42.1,80426,98.92,685,0.84,197,0.24,81308,100.0,199,199-QUILPUE,1091,1091-DE VALPARAISO
DE VALPARAISO,QUINTERO,8623,61.37,5427,38.63,14050,98.89,108,0.76,50,0.35,14208,100.0,200,200-QUINTERO,1091,1091-DE VALPARAISO
DE VALPARAISO,RINCONADA,3487,58.77,2446,41.23,5933,99.26,34,0.57,10,0.17,5977,100.0,169,169-RINCONADA,1091,1091-DE VALPARAISO
DE VALPARAISO,SAN ANTONIO,32363,70.35,13640,29.65,46003,99.1,323,0.7,97,0.21,46423,100.0,187,187-SAN ANTONIO,1091,1091-DE VALPARAISO
DE VALPARAISO,SAN ESTEBAN,5322,58.79,3731,41.21,9053,98.52,110,1.2,26,0.28,9189,100.0,170,170-SAN ESTEBAN,1091,1091-DE VALPARAISO
DE VALPARAISO,SAN FELIPE,20196,59.9,13519,40.1,33715,98.96,257,0.75,98,0.29,34070,100.0,193,193-SAN FELIPE,1091,1091-DE VALPARAISO
DE VALPARAISO,SANTA MARIA,3833,57.14,2875,42.86,6708,98.81,64,0.94,17,0.25,6789,100.0,194,194-SANTA MARIA,1091,1091-DE VALPARAISO
DE VALPARAISO,SANTO DOMINGO,3484,41.9,4832,58.1,8316,98.89,74,0.88,19,0.23,8409,100.0,188,188-SANTO DOMINGO,1091,1091-DE VALPARAISO
DE VALPARAISO,VALPARAISO,99453,65.67,51992,34.33,151445,98.93,1258,0.82,379,0.25,153082,100.0,201,201-VALPARAISO,1091,1091-DE VALPARAISO
DE VALPARAISO,VILLA ALEMANA,33951,56.69,25937,43.31,59888,98.84,551,0.91,151,0.25,60590,100.0,202,202-VILLA ALEMANA,1091,1091-DE VALPARAISO
DE VALPARAISO,VIÑA DEL MAR,93427,54.76,77174,45.24,170601,98.85,1497,0.87,493,0.29,172591,100.0,203,203-VIÑA DEL MAR,1091,1091-DE VALPARAISO
DE VALPARAISO,ZAPALLAR,2745,43.83,3518,56.17,6263,98.14,82,1.28,37,0.58,6382,100.0,175,175-ZAPALLAR,1091,1091-DE VALPARAISO
METROPOLITANA DE SANTIAGO,total,2063639,60.33,1357007,39.67,3420646,98.87,28609,0.83,10526,0.3,3459781,100.0,-99,total,1092,1092-METROPOLITANA DE SANTIAGO
METROPOLITANA DE SANTIAGO,ALHUE,1952,64.13,1092,35.87,3044,99.41,9,0.29,9,0.29,3062,100.0,298,298-ALHUE,1092,1092-METROPOLITANA DE SANTIAGO
METROPOLITANA DE SANTIAGO,BUIN,26268,56.3,20391,43.7,46659,99.02,358,0.76,105,0.22,47122,100.0,294,294-BUIN,1092,1092-METROPOLITANA DE SANTIAGO
METROPOLITANA DE SANTIAGO,CALERA DE TANGO,7141,50.02,7135,49.98,14276,98.95,107,0.74,45,0.31,14428,100.0,295,295-CALERA DE TANGO,1092,1092-METROPOLITANA DE SANTIAGO
METROPOLITANA DE SANTIAGO,CERRILLOS,24001,63.46,13818,36.54,37819,99.14,257,0.67,70,0.18,38146,100.0,303,303-CERRILLOS,1092,1092-METROPOLITANA DE SANTIAGO
METROPOLITANA DE SANTIAGO,CERRO NAVIA,42576,70.23,18051,29.77,60627,99.2,358,0.59,128,0.21,61113,100.0,304,304-CERRO NAVIA,1092,1092-METROPOLITANA DE SANTIAGO
METROPOLITANA DE SANTIAGO,COLINA,22453,40.75,32653,59.25,55106,98.73,509,0.91,198,0.35,55813,100.0,288,288-COLINA,1092,1092-METROPOLITANA DE SANTIAGO
METROPOLITANA DE SANTIAGO,CONCHALI,43294,66.86,21464,33.14,64758,99.1,445,0.68,144,0.22,65347,100.0,305,305-CONCHALI,1092,1092-METROPOLITANA DE SANTIAGO
METROPOLITANA DE SANTIAGO,CURACAVI,9652,58.44,6865,41.56,16517,98.97,129,0.77,43,0.26,16689,100.0,299,299-CURACAVI,1092,1092-METROPOLITANA DE SANTIAGO
METROPOLITANA DE SANTIAGO,EL BOSQUE,49629,65.84,25753,34.16,75382,99.16,501,0.66,135,0.18,76018,100.0,306,306-EL BOSQUE,1092,1092-METROPOLITANA DE SANTIAGO
METROPOLITANA DE SANTIAGO,EL MONTE,10139,61.93,6232,38.07,16371,98.84,145,0.88,47,0.28,16563,100.0,335,335-EL MONTE,1092,1092-METROPOLITANA DE SANTIAGO
METROPOLITANA DE SANTIAGO,ESTACION CENTRAL,41330,64.86,22393,35.14,63723,99.03,471,0.73,155,0.24,64349,100.0,18258,18258-ESTACION CENTRAL,1092,1092-METROPOLITANA DE SANTIAGO
METROPOLITANA DE SANTIAGO,HUECHURABA,28683,60.24,18931,39.76,47614,98.65,493,1.02,161,0.33,48268,100.0,308,308-HUECHURABA,1092,1092-METROPOLITANA DE SANTIAGO
METROPOLITANA DE SANTIAGO,INDEPENDENCIA,24430,61.17,15505,38.83,39935,98.98,291,0.72,119,0.29,40345,100.0,309,309-INDEPENDENCIA,1092,1092-METROPOLITANA DE SANTIAGO
METROPOLITANA DE SANTIAGO,ISLA DE MAIPO,10118,58.62,7141,41.38,17259,99.25,97,0.56,34,0.2,17390,100.0,336,336-ISLA DE MAIPO,1092,1092-METROPOLITANA DE SANTIAGO
METROPOLITANA DE SANTIAGO,LA CISTERNA,28899,60.48,18881,39.52,47780,99.07,357,0.74,91,0.19,48228,100.0,310,310-LA CISTERNA,1092,1092-METROPOLITANA DE SANTIAGO
METROPOLITANA DE SANTIAGO,LA FLORIDA,125000,64.76,68018,35.24,193018,99.05,1403,0.72,445,0.23,194866,100.0,311,311-LA FLORIDA,1092,1092-METROPOLITANA DE SANTIAGO
METROPOLITANA DE SANTIAGO,LA GRANJA,38965,70.25,16501,29.75,55466,99.18,339,0.61,117,0.21,55922,100.0,312,312-LA GRANJA,1092,1092-METROPOLITANA DE SANTIAGO
METROPOLITANA DE SANTIAGO,LA PINTANA,49972,72.93,18549,27.07,68521,99.1,449,0.65,172,0.25,69142,100.0,313,313-LA PINTANA,1092,1092-METROPOLITANA DE SANTIAGO
METROPOLITANA DE SANTIAGO,LA REINA,30753,49.33,31593,50.67,62346,98.03,844,1.33,407,0.64,63597,100.0,314,314-LA REINA,1092,1092-METROPOLITANA DE SANTIAGO
METROPOLITANA DE SANTIAGO,LAMPA,20285,57.34,15090,42.66,35375,98.49,273,0.76,268,0.75,35916,100.0,289,289-LAMPA,1092,1092-METROPOLITANA DE SANTIAGO
METROPOLITANA DE SANTIAGO,LAS CONDES,47733,26.51,132330,73.49,180063,97.74,2934,1.59,1230,0.67,184227,100.0,315,315-LAS CONDES,1092,1092-METROPOLITANA DE SANTIAGO
METROPOLITANA DE SANTIAGO,LO BARNECHEA,12248,21.01,46038,78.99,58286,98.06,859,1.45,294,0.49,59439,100.0,316,316-LO BARNECHEA,1092,1092-METROPOLITANA DE SANTIAGO
METROPOLITANA DE SANTIAGO,LO ESPEJO,34532,73.12,12695,26.88,47227,99.14,295,0.62,115,0.24,47637,100.0,317,317-LO ESPEJO,1092,1092-METROPOLITANA DE SANTIAGO
METROPOLITANA DE SANTIAGO,LO PRADO,33698,68.49,15500,31.51,49198,99.13,345,0.7,86,0.17,49629,100.0,318,318-LO PRADO,1092,1092-METROPOLITANA DE SANTIAGO
METROPOLITANA DE SANTIAGO,MACUL,40364,63.73,22973,36.27,63337,98.94,475,0.74,202,0.32,64014,100.0,319,319-MACUL,1092,1092-METROPOLITANA DE SANTIAGO
METROPOLITANA DE SANTIAGO,MAIPU,167374,66.63,83812,33.37,251186,99.17,1670,0.66,442,0.17,253298,100.0,320,320-MAIPU,1092,1092-METROPOLITANA DE SANTIAGO
METROPOLITANA DE SANTIAGO,MARIA PINTO,3959,57.65,2908,42.35,6867,99.21,41,0.59,14,0.2,6922,100.0,300,300-MARIA PINTO,1092,1092-METROPOLITANA DE SANTIAGO
METROPOLITANA DE SANTIAGO,MELIPILLA,28453,54.71,23555,45.29,52008,99.24,305,0.58,94,0.18,52407,100.0,301,301-MELIPILLA,1092,1092-METROPOLITANA DE SANTIAGO
METROPOLITANA DE SANTIAGO,ÑUÑOA,81608,59.57,55388,40.43,136996,98.56,1413,1.02,593,0.43,139002,100.0,321,321-ÑUÑOA,1092,1092-METROPOLITANA DE SANTIAGO
METROPOLITANA DE SANTIAGO,PADRE HURTADO,19359,65.52,10189,34.48,29548,99.09,203,0.68,69,0.23,29820,100.0,337,337-PADRE HURTADO,1092,1092-METROPOLITANA DE SANTIAGO
METROPOLITANA DE SANTIAGO,PAINE,17617,54.49,14711,45.51,32328,99.06,234,0.72,73,0.22,32635,100.0,296,296-PAINE,1092,1092-METROPOLITANA DE SANTIAGO
METROPOLITANA DE SANTIAGO,PEDRO AGUIRRE CERDA,39838,72.74,14930,27.26,54768,99.08,393,0.71,118,0.21,55279,100.0,322,322-PEDRO AGUIRRE CERDA,1092,1092-METROPOLITANA DE SANTIAGO
